Round,Round offset,Column offset,Row offset,Board offset,Team 1,Team 1 full name,Team 1 division,Player 1,Rating 1,Team 2,Team 2 full name,Team 2 division,Player 2,Rating 2
2,9,6,3,1,Minnesota,Minnesota Blizzard,Atlantic,Daniel Gurevich,2471,Rio Grande,Rio Grande Ospreys,Pacific,Vladimir Belous,2566
2,9,6,3,2,Minnesota,Minnesota Blizzard,Atlantic,John Bartholomew,2449,Rio Grande,Rio Grande Ospreys,Pacific,Guillermo Vazquez,2441
2,9,6,3,3,Minnesota,Minnesota Blizzard,Atlantic,Nikola Mitkov,2444,Rio Grande,Rio Grande Ospreys,Pacific,Felix Ynojosa,2418
2,9,7,3,0,Montreal,Montreal Chessbrahs,Atlantic,Eric Hansen,2629,Australia,Australia Kangaroos,Pacific,Evgenij Miroshnichenko,2606
2,9,7,3,1,Montreal,Montreal Chessbrahs,Atlantic,Aman Hambleton,2479,Australia,Australia Kangaroos,Pacific,Alexey Sarana,2541
2,9,7,3,2,Montreal,Montreal Chessbrahs,Atlantic,Raja Panjwani,2421,Australia,Australia Kangaroos,Pacific,Anton Smirnov,2508
2,9,7,3,3,Montreal,Montreal Chessbrahs,Atlantic,Shiyam Thavandiran,2385,Australia,Australia Kangaroos,Pacific,Brandon Clarke,2319
3,12,0,6,0,Miami,Miami Champions,Atlantic,Eduardo Iturrizaga,2665,Dallas,Dallas Destiny,Pacific,Jeffery Xiong,2633
3,12,0,6,1,Miami,Miami Champions,Atlantic,Yuniesky Quesada,2619,Dallas,Dallas Destiny,Pacific,Conrad Holt,2565
3,12,0,6,2,Miami,Miami Champions,Atlantic,Michael Rohde,2387,Dallas,Dallas Destiny,Pacific,Luke Harmon-Vellotti,2468
3,12,0,6,3,Miami,Miami Champions,Atlantic,Nicholas Rosenthal,2164,Dallas,Dallas Destiny,Pacific,Steven Breckenridge,2292
3,12,1,6,0,St. Louis,St. Louis Arch Bishops,Atlantic,Fabiano Caruana,2799,Seattle,Seattle Sluggers,Pacific,Hikaru Nakamura,2781
3,12,1,6,1,St. Louis,St. Louis Arch Bishops,Atlantic,Vladimir Fedoseev,2731,Seattle,Seattle Sluggers,Pacific,Tigran Petrosian,2615
3,12,1,6,2,St. Louis,St. Louis Arch Bishops,Atlantic,Alejandro Ramirez,2563,Seattle,Seattle Sluggers,Pacific,Georgi Orlov,2481
3,12,1,6,3,St. Louis,St. Louis Arch Bishops,Atlantic,Annie Wang,2090,Seattle,Seattle Sluggers,Pacific,Kyle Haining,2169
3,12,2,6,0,Pittsburgh,Pittsburgh Pawngrabbers,Atlantic,Awonder Liang,2545,San Jose,San Jose Hackers,Pacific,Shakhriyar Mamedyarov,2797
3,12,2,6,1,Pittsburgh,Pittsburgh Pawngrabbers,Atlantic,Tuan Minh Le,2485,San Jose,San Jose Hackers,Pacific,Rauf Mamedov,2678
3,12,2,6,2,Pittsburgh,Pittsburgh Pawngrabbers,Atlantic,Atulya Shetty,2403,San Jose,San Jose Hackers,Pacific,Zviad Izoria,2601
3,12,2,6,3,Pittsburgh,Pittsburgh Pawngrabbers,Atlantic,Safal Bora,2363,San Jose,San Jose Hackers,Pacific,Vinesh Ravuri,1918
3,12,3,6,0,Buenos Aires,Buenos Aires Krakens,Atlantic,Alan Pichot,2565,Chengdu,Chengdu Pandas,Pacific,Yu Yangyi,2750
3,12,3,6,1,Buenos Aires,Buenos Aires Krakens,Atlantic,Mario Villanueva,2445,Chengdu,Chengdu Pandas,Pacific,Ni Hua,2674
3,12,3,6,2,Buenos Aires,Buenos Aires Krakens,Atlantic,German Della Morte,2362,Chengdu,Chengdu Pandas,Pacific,Xu Xiangyu,2549
3,12,3,6,3,Buenos Aires,Buenos Aires Krakens,Atlantic,Jacques Blit,2344,Chengdu,Chengdu Pandas,Pacific,Chu Ruotong,2173
3,12,4,6,0,Las Vegas,Las Vegas Desert Rats,Pacific,Leinier Dominguez,2739,Montclair,Montclair Sopranos,Atlantic,Aleksandr Lenderman,2565
3,12,4,6,1,Las Vegas,Las Vegas Desert Rats,Pacific,Joshua Friedel,2547,Montclair,Montclair Sopranos,Atlantic,Anatoly Bykhovsky,2496
3,12,4,6,2,Las Vegas,Las Vegas Desert Rats,Pacific,Melikset Khachiyan,2526,Montclair,Montclair Sopranos,Atlantic,Mackenzie Molner,2465
3,12,4,6,3,Las Vegas,Las Vegas Desert Rats,Pacific,Eugene Yanayt,2139,Montclair,Montclair Sopranos,Atlantic,Nicolas Checa,2459
3,12,5,6,0,Rio Grande,Rio Grande Ospreys,Pacific,Hovhannes Gabuzyan,2573,Webster,Webster Windmills,Atlantic,Aleksandr Shimanov,2646
3,12,5,6,1,Rio Grande,Rio Grande Ospreys,Pacific,Vladimir Belous,2566,Webster,Webster Windmills,Atlantic,Denes Boros,2475
3,12,5,6,2,Rio Grande,Rio Grande Ospreys,Pacific,Guillermo Vazquez,2441,Webster,Webster Windmills,Atlantic,Ashwin Jayaram,2474
3,12,5,6,3,Rio Grande,Rio Grande Ospreys,Pacific,Felix Ynojosa,2418,Webster,Webster Windmills,Atlantic,Aaron Grabinsky,2358
3,12,6,6,0,Australia,Australia Kangaroos,Pacific,Evgenij Miroshnichenko,2606,Minnesota,Minnesota Blizzard,Atlantic,Andrew Tang,2488
3,12,6,6,1,Australia,Australia Kangaroos,Pacific,Alexey Sarana,2541,Minnesota,Minnesota Blizzard,Atlantic,Daniel Gurevich,2471
3,12,6,6,2,Australia,Australia Kangaroos,Pacific,Anton Smirnov,2508,Minnesota,Minnesota Blizzard,Atlantic,John Bartholomew,2449
